기준연도,기준분기,노선명,거리_필터,대분류,매출금액,가게수,점포당_평균매출
2023.0,3.0,안산선,500,소매,79712798905.0,1457,54710225.741249144
2023.0,3.0,진접선,2000,소매,10746175066.0,798,13466384.794486215
2023.0,3.0,진접선,500,소매,2315626968.0,101,22926999.683168318
2023.0,3.0,하남선_1단계,2000,소매,14016249858.0,1604,8738310.385286784
2023.0,3.0,하남선_1단계,500,소매,1283894911.0,28,45853389.678571425
2023.0,3.0,하남선_2단계,2000,소매,17661162373.0,826,21381552.50968523
2023.0,3.0,하남선_2단계,500,소매,5590124543.0,180,31056247.46111111
2017.0,1.0,경기도_대조군,Control,수리·개인,272856954741.0,45595,5984361.3277991
2017.0,1.0,김포골드라인,500,수리·개인,3015330447.0,463,6512592.758099352
2017.0,1.0,김포골드라인,2000,수리·개인,3784719596.0,938,4034882.2985074627
2017.0,1.0,안산선,500,수리·개인,4937960876.0,781,6322613.157490397
2017.0,1.0,안산선,2000,수리·개인,7528878576.0,6478,1162222.6884841
2017.0,1.0,진접선,500,수리·개인,185067259.0,103,1796769.504854369
2017.0,1.0,진접선,2000,수리·개인,1992310538.0,795,2506050.9911949686
2017.0,1.0,하남선_1단계,500,수리·개인,293428587.0,66,4445887.681818182
2017.0,1.0,하남선_1단계,2000,수리·개인,1280159949.0,1087,1177700.0450781968
2017.0,1.0,하남선_2단계,500,수리·개인,601002166.0,103,5834972.485436893
2017.0,1.0,하남선_2단계,2000,수리·개인,1223463053.0,283,4323191.0
2017.0,2.0,경기도_대조군,Control,수리·개인,295775570622.0,45595,6487017.669086522
2017.0,2.0,김포골드라인,500,수리·개인,3124377535.0,455,6866763.813186813
2017.0,2.0,김포골드라인,2000,수리·개인,4166555605.0,948,4395100.849156118
2017.0,2.0,안산선,500,수리·개인,5149171941.0,750,6865562.588
2017.0,2.0,안산선,2000,수리·개인,8267346704.0,6543,1263540.6853125477
2017.0,2.0,진접선,500,수리·개인,294832846.0,103,2862454.8155339807
2017.0,2.0,진접선,2000,수리·개인,2467176287.0,805,3064815.2633540374
2017.0,2.0,하남선_1단계,500,수리·개인,326811823.0,66,4951694.287878788
2017.0,2.0,하남선_1단계,2000,수리·개인,1359359637.0,1068,1272808.6488764044
2017.0,2.0,하남선_2단계,500,수리·개인,645569013.0,103,6267660.32038835
2017.0,2.0,하남선_2단계,2000,수리·개인,1321642400.0,283,4670114.487632508
